"IPRange","ServiceArea","ServiceAreaDisplayName"
"2603:1007:200::/48","Common","Microsoft 365 Common and Office Online"
"2603:1016:1400::/48","Common","Microsoft 365 Common and Office Online"
"2603:1017::/48","Common","Microsoft 365 Common and Office Online"
"2603:1026:3000::/48","Common","Microsoft 365 Common and Office Online"
"2603:1027:1::/48","Common","Microsoft 365 Common and Office Online"
"2603:1036:3000::/48","Common","Microsoft 365 Common and Office Online"
"2603:1037:1::/48","Common","Microsoft 365 Common and Office Online"
"2603:1046:2000::/48","Common","Microsoft 365 Common and Office Online"
"2603:1047:1::/48","Common","Microsoft 365 Common and Office Online"
"2603:1056:2000::/48","Common","Microsoft 365 Common and Office Online"
"2603:1057:2::/48","Common","Microsoft 365 Common and Office Online"
"13.107.6.192/32","Common","Microsoft 365 Common and Office Online"
"13.107.9.192/32","Common","Microsoft 365 Common and Office Online"
"2620:1ec:4::192/128","Common","Microsoft 365 Common and Office Online"
"2620:1ec:a92::192/128","Common","Microsoft 365 Common and Office Online"
